artist	title	original_songs
GET IN THE RING	艶でや雲海花嵐	桜色の海を泳いで/一対の神獣/二色蓮花蝶　～ Red and White
GET IN THE RING	祭炎	東方萃夢想/砕月
GET IN THE RING	ミラクルブルースカイ	おてんば恋娘/希望の星は青霄に昇る/真夏の妖精の夢
GET IN THE RING	Cosmic Horoscope	天空のグリニッジ/車椅子の未来宇宙/衛星カフェテラス/G Free/大空魔術　～ Magical Astronomy
GET IN THE RING	狭霧の灯火	上海紅茶館　～ Chinese Tea/ラクトガール　～ 少女密室/月時計　～ ルナ・ダイアル/亡き王女の為のセプテット/U.N.オーエンは彼女なのか？
L-ZONE(翠工房)	七色の彼方	ヴワル魔法図書館
L-ZONE(翠工房)	Confusion ～交差する想い～	ヴワル魔法図書館/ラクトガール　～ 少女密室
L-ZONE(翠工房)	Who is my lord?	月時計　～ ルナ・ダイアル
L-ZONE(翠工房)	氷想～my feelings～	おてんば恋娘
L-ZONE(翠工房)	Another	秘匿されたフォーシーズンズ
L-ZONE(翠工房)	Like a Hermit -華ハ日向 陰ニ棘-	華狭間のバトルフィールド
L-ZONE(翠工房)	Bright Star ～孤独な月～	孤独なウェアウルフ
L-ZONE(翠工房)	Labyrinth～魂の迷い～	東方妖々夢　～ Ancient Temple
L-ZONE(翠工房)	DesireDrive ～孤独な願い～	デザイアドライブ
Lampcat	autre	ハルトマンの妖怪少女
Lampcat	one for all	輝く針の小人族　～ Little Princess
Lampcat	fake A.count	U.N.オーエンは彼女なのか？
Lampcat	アイソレーション	信仰は儚き人間の為に
Lampcat	樹上のてぇぶるげえむ	年中夢中の好奇心/真夜中のフェアリーダンス
Lampcat	サマーウインド	神々が恋した幻想郷
RED FOREST METAL ORCHESTRA	現夢-genmu-ver.R	リーインカーネイション/ジャパニーズサーガ
RED FOREST METAL ORCHESTRA	星を廻せ月より速くver.R	未知の花 魅知の旅
RED FOREST METAL ORCHESTRA	幻葬夜行’17	イザナギオブジェクト/ネクロファンタジア/少女秘封倶楽部/日本中の不思議を集めて/ジャパニーズサーガ/夢と現の境界
RED FOREST METAL ORCHESTRA feat. 少女理論観測所 / うきね	天球上のプロムナード(Red Forest covered.)	月面ツアーへようこそ
RED FOREST METAL ORCHESTRA feat.ヤヤネヒロコ	メメント・モリ	イザナギオブジェクト
TUMENECO	めぐりまわる ～ Acoustic ver.	紅楼　～ Eastern Dream...
TUMENECO VS GET IN THE RING	リバーフェイス	亡失のエモーション
TUMENECO VS GET IN THE RING	その唄の名は…	童祭　～ Innocent Treasures
TUMENECO VS GET IN THE RING	幻想百鬼夜行抄	幻想郷の二ッ岩
