artist	title	original_songs
A-One	Energy Flight	春色小径　～ Colorful Path/オリエンタルダークフライト
A-One	EVERYDAY EVERYNIGHT	Demystify Feast
A-One	Endless Seeker	幽霊客船の時空を越えた旅/キャプテン・ムラサ
A-One	Endless,Sleepless Night	恋色マスタースパーク
A-One	Cool your Divinity	狂気の瞳　～ Invisible Full Moon/おてんば恋娘の冒険
A-One	GROOVE IT LUCKY	厄神様の通り道　～ Dark Road/運命のダークサイド
A-One	Cage to Heart	シンデレラケージ　～ Kagome-Kagome/狂気の瞳　～ Invisible Full Moon
A-One	Get it Done	人形裁判　～ 人の形弄びし少女/幽霊楽団　～ Phantom Ensemble
A-One	Call of truth	もう歌しか聞こえない　～ Flower Mix/風神少女　 (Short Version)
A-One	God Bless You!!	永夜抄　～ Eastern Night./永夜の報い　～ Imperishable Night.
A-One	summer pop cider-TEB”Forsaken”Remix-	ポイズンボディ　～ Forsaken Doll/今昔幻想郷　～ Flower Land
A-One	Shoot the Lights	レトロスペクティブ京都
A-One	Secret eyes	ラストリモート/ハルトマンの妖怪少女
A-One	Scream out!	明日ハレの日、ケの昨日/ネイティブフェイス
A-One	Spider's Blood	暗闇の風穴/封じられた妖怪　～ Lost Place
A-One	SPEEDY NIGHT	オリエンタルダークフライト
A-One	ゼンマイ恋時計(T.E.B Summer Mix)	遠野幻想物語/ティアオイエツォン(withered leaf)
A-One	Dancing in the fire	廃獄ララバイ/死体旅行　～ Be of good cheer!
A-One	Darkish	厄神様の通り道　～ Dark Road/運命のダークサイド
A-One	T.E.B	彼岸帰航　～ Riverside View/六十年目の東方裁判　～ Fate of Sixty Years
A-One	Drive Your Fire	エクステンドアッシュ　～ 蓬莱人/月まで届け、不死の煙
A-One	Dream Coaster	宇宙を飛ぶ不思議な巫女/永遠の春夢
A-One	Don't Break Me Down	U.N.オーエンは彼女なのか？
A-One	No Routine	ヴォヤージュ1969/千年幻想郷　～ History of the Moon
A-One	BURNIN' BLOOD	月まで届け、不死の煙
A-One	Believe Me	信仰は儚き人間の為に
A-One	BEAT INFULLENCER	地霊達の起床/暗闇の風穴/封じられた妖怪　～ Lost Place
A-One	Fall into the Magic	芥川龍之介の河童　～ Candid Friend/フォールオブフォール　～ 秋めく滝
A-One	Flowering Fantasia	東方妖々夢　～ Ancient Temple/フラワリングナイト
A-One	PLAY MY GAME	春の湊に/小さな小さな賢将
A-One	みんなで大空マジック!!	大空魔術　～ Magical Astronomy
A-One	Right or Wrong	亡き王女の為のセプテット/ネクロファンタジア/千年幻想郷　～ History of the Moon
A-One	Life is Over	法界の火/感情の摩天楼　～ Cosmic Mind
A-One	Real Survivor	夜が降りてくる　～ Evening Star/御伽の国の鬼が島　～ Missing Power
A-One	little flare	業火マントル/霊知の太陽信仰　～ Nuclear Fusion
A-One	REASON for RED	人恋し神様　～ Romantic Fall/御柱の墓場　～ Grave of Being
A-One	Lunatic Paradise	月時計　～ ルナ・ダイアル
A-One	Rainy Sigh	少女が見た日本の原風景/信仰は儚き人間の為に
A-One	Wanna Be My Dream	少女綺想曲　～ Dream Battle
AbsoЯute Zero	いざ宵裂く矢となれ	月時計　～ ルナ・ダイアル/フラワリングナイト
AbsoЯute Zero	永遠DAYS	ヴォヤージュ1969/千年幻想郷　～ History of the Moon/竹取飛翔　～ Lunatic Princess
AbsoЯute Zero	完全犯罪⑥⑥BANG!	U.N.オーエンは彼女なのか？
AbsoЯute Zero	⑨Till you know	おてんば恋娘
Alstroemeria Records	Alice Maestera feat. nomico	アリスマエステラ
Alstroemeria Records	ARROW RAIN feat. ayame	亡き王女の為のセプテット
Alstroemeria Records	Wall of Flowers feat. mikicco	ハルトマンの妖怪少女
Alstroemeria Records	SACRIFICE feat. ayame	月まで届け、不死の煙
Alstroemeria Records	[オリカラ]Necro Fantasia feat. misato	ネクロファンタジア
Alstroemeria Records	Necro Fantasia feat. misato	ネクロファンタジア
Alstroemeria Records	Bad Apple!! feat. nomico -Silhouette MV Ver.-	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat. nomico (Nhato Remix)	Bad Apple!!
Alstroemeria Records	[オリカラ]Bad Apple!! feat. nomico -Silhouette MV Ver.-	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat. nomico (TOS Remix) feat. 抹,ytr	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat. nomico	Bad Apple!!
Alstroemeria Records	[オリカラ]Bad Apple!! feat. nomico	Bad Apple!!
Alstroemeria Records	Reassemblage feat. ayame	法界の火
Alstroemeria Records	REDSOUL feat. ayame	ほおずきみたいに紅い魂
Alstroemeria Records	[オリカラ]REDSOUL feat. ayame	ほおずきみたいに紅い魂
Alstroemeria Records	Lost Emotion feat. nomico	亡失のエモーション
C-CLAYS	Aja～You are my precious star	不思議の国のアリス
C-CLAYS feat.小峠舞	Iris Joker	死体旅行　～ Be of good cheer!
C-CLAYS feat.小峠舞	空振りサディスティック	平安のエイリアン
C-CLAYS feat.小峠舞	Shiny Up!	東方妖怪小町
C-CLAYS feat.小峠舞	純真Velvet	エクステンドアッシュ　～ 蓬莱人
C-CLAYS feat.小峠舞	Spring Shower	ネクロファンタジア
C-CLAYS feat.小峠舞	Visualize～愛しき人へ	アルティメットトゥルース
C-CLAYS feat.小峠舞	Whirling Truth	厄神様の通り道　～ Dark Road
C-CLAYS feat.櫻井アンナ	Nymphaea	ネイティブフェイス
C-CLAYS feat.双月彩	哀しみに霞む摩天楼	神々が恋した幻想郷
COOL&CREATE/あまね	Yet Another”drizzly rain”	ラクトガール　～ 少女密室
COOL&CREATE/あまね	s complex	人恋し神様　～ Romantic Fall/稲田姫様に叱られるから
COOL&CREATE/あまね	Dear My Friend	芥川龍之介の河童　～ Candid Friend
COOL&CREATE/あまね	としょかんのおと	ヴワル魔法図書館/珍客
COOL&CREATE/あまね	drizzly rain	ラクトガール　～ 少女密室
COOL&CREATE/あまね	ナイト・オブ・IQの低いナイツ(ARM vs D.watt feat.あまね)	月時計　～ ルナ・ダイアル/フラワリングナイト
COOL&CREATE/あまね	ネココタマツリ	遠野幻想物語/ティアオイエツォン(withered leaf)
COOL&CREATE/あまね	はたらくはくたく先生	懐かしき東方の血　～ Old World
COOL&CREATE/あまね	やくもと!	ネクロファンタジア
COOL&CREATE/ビートまりお	OPPA in LOVE!!	その他
COOL&CREATE/ビートまりお	最終鬼畜一部声	U.N.オーエンは彼女なのか？
COOL&CREATE/ビートまりお	最速最高シャッターガール	風神少女
COOL&CREATE/ビートまりお	Thank you 感謝!	神々が恋した幻想郷
COOL&CREATE/ビートまりお	東方人-TOHO BEAT-	童祭　～ Innocent Treasures
COOL&CREATE/ビートまりお	人間が大好きなこわれた妖怪の唄	芥川龍之介の河童　～ Candid Friend
COOL&CREATE/ビートまりお	のぼれ八坂坂!	御柱の墓場　～ Grave of Being/神さびた古戦場　～ Suwa Foughten Field
COOL&CREATE/ビートまりお	Help me,ERINNNNNN!!	竹取飛翔　～ Lunatic Princess
COOL&CREATE/ビートまりお	洩矢式フェスティバル	明日ハレの日、ケの昨日/ネイティブフェイス
COOL&CREATE/ビートまりお	門門しましょ	上海紅茶館　～ Chinese Tea/明治十七年の上海アリス
COOL&CREATE/ビートまりお	厄ヲタメ	厄神様の通り道　～ Dark Road
COOL&CREATE/ビートまりお	Re:The title lies in...you.	レトロスペクティブ京都
COOL&CREATE/ビートまりお	リスペク風神	妖怪の山　～ Mysterious Mountain
COOL&CREATE/ビートまりお	林檎華憐歌	オリジナル
COOL&CREATE/ビートまりお	レザマリでもつらくないっ!	恋色マスタースパーク
COOL&CREATE/ビートまりお、あまね	秋想い、	フォールオブフォール　～ 秋めく滝
COOL&CREATE/ビートまりお、あまね	アゲスパ!!!!	ラクトガール　～ 少女密室/恋色マスタースパーク
COOL&CREATE/ビートまりお、あまね	クレイジークレイジーダンサーズ	クレイジーバックダンサーズ
