karaoke_type	display_artist	circle
JOYSOUND(うたスキ)	Atom Heart Lover	Atom Heart Lover
JOYSOUND(うたスキ)	BLUEMOON/きゃと	BLUEMOON
JOYSOUND(うたスキ)	Echollapsar	Echollapsar
JOYSOUND(うたスキ)	GET IN THE RING	GET IN THE RING
JOYSOUND(うたスキ)	L-ZONE(翠工房)	L-ZONE(翠工房)
JOYSOUND(うたスキ)	Lampcat	Lampcat
JOYSOUND(うたスキ)	RED FOREST METAL ORCHESTRA	RED FOREST METAL ORCHESTRA
JOYSOUND(うたスキ)	RED FOREST METAL ORCHESTRA feat. 少女理論観測所 / うきね	RED FOREST METAL ORCHESTRA
JOYSOUND(うたスキ)	RED FOREST METAL ORCHESTRA feat.ヤヤネヒロコ	RED FOREST METAL ORCHESTRA
JOYSOUND(うたスキ)	TUMENECO	TUMENECO
JOYSOUND(うたスキ)	TUMENECO VS GET IN THE RING	TUMENECO VS GET IN THE RING
JOYSOUND(うたスキ)	YEKproject	YEKproject
JOYSOUND(うたスキ)	Yonder Voice	Yonder Voice
JOYSOUND(うたスキ)	Yonder Voice / 瑶山百霊	Yonder Voice
JOYSOUND(うたスキ)	おかかとんかつ	おかかとんかつ
JOYSOUND(うたスキ)	ちょこふぁん	ちょこふぁん
JOYSOUND(うたスキ)	はるちん	はるちん
JOYSOUND(うたスキ)	アインリート	アインリート
JOYSOUND(うたスキ)	ナトリニウム	ナトリニウム
JOYSOUND(うたスキ)	フロイパー	フロイパー
JOYSOUND(うたスキ)	モジャン棒	モジャン棒
JOYSOUND(うたスキ)	凋叶棕 feat.めらみぽっぷ	凋叶棕
JOYSOUND(うたスキ)	宇宙色ふぉーす	宇宙色ふぉーす
JOYSOUND(うたスキ)	少女フラクタル/天宮みや、姫城碧海	少女フラクタル
JOYSOUND(うたスキ)	少女理論観測所/556t(回路)	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/あやぽんず*(森羅万象)	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/あるす(Satellite Himawari)	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/うきね	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/ななひら	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/テラ	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/保科	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/咲子	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/彩、谷屋楽、玉谷(へたのよこずき)	少女理論観測所
JOYSOUND(うたスキ)	少女理論観測所/提灯	少女理論観測所
JOYSOUND(うたスキ)	少年ヴィヴィッド	少年ヴィヴィッド
JOYSOUND(うたスキ)	幽閉サテライト/senya	幽閉サテライト
JOYSOUND(うたスキ)	暁Records	暁Records
JOYSOUND(うたスキ)	森羅万象	森羅万象
JOYSOUND(うたスキ)	空騒中継点	空騒中継点
JOYSOUND(うたスキ)	雪風ルーフ	雪風ルーフ
