karaoke_type	display_artist	circle
JOYSOUND	JF UNION feat.小鳥遊まこ	JF UNION
JOYSOUND	Kraster feat.Ne;on	Kraster
JOYSOUND	Kraster feat.Ne;on&ハイジ	Kraster
JOYSOUND	Kraster feat.Ne;on&羽丘淳	Kraster
JOYSOUND	Kraster feat.Ne;on&父	Kraster
JOYSOUND	Kraster feat.ハイジ	Kraster
JOYSOUND	Kraster feat.羽丘淳	Kraster
JOYSOUND	Kraster feat.羽丘淳&Ne;on&ハイジ	Kraster
JOYSOUND	Kraster feat.羽丘淳&Ne;on&ハイジ&父	Kraster
JOYSOUND	Kraster feat.羽丘淳&ハイジ	Kraster
JOYSOUND	Kraster feat.羽丘淳&父	Kraster
JOYSOUND	Kraster feat.父	Kraster
JOYSOUND	KRASTERII×Ne;on Otonashi	KRASTERII
JOYSOUND	L-ZONE(翠工房)	L-ZONE(翠工房)
JOYSOUND	LiLA'c Records feat.F9	LiLA'c Records
JOYSOUND	LiLA'c Records feat.vip店長	LiLA'c Records
JOYSOUND	LiLA'c Records feat.ココ	LiLA'c Records
JOYSOUND	LiLA'c Records feat.たま	LiLA'c Records
JOYSOUND	LiLA'c Records feat.秋赤音	LiLA'c Records
JOYSOUND	Liz Triangle	Liz Triangle
JOYSOUND	merveilles.org	あぷえぬすたーと！
JOYSOUND	miko	PROJECT tM@S
JOYSOUND	MISTYRAIN feat.℃iel	MISTYRAIN
JOYSOUND	MISTYRAIN feat.tompi	MISTYRAIN
JOYSOUND	MISTYRAIN feat.哀良にょん	MISTYRAIN
JOYSOUND	monochrome-coat feat. Hotori*	monochrome-coat
JOYSOUND	monochrome-coat feat. プラスもなか	monochrome-coat
JOYSOUND	monochrome-coat feat. 綾倉盟	monochrome-coat
JOYSOUND	monochrome-coat feat. 池田奨	monochrome-coat
JOYSOUND	monochrome-coat feat.IZNA(シェイクジアス)	monochrome-coat
JOYSOUND	monochrome-coat feat.nayuta	monochrome-coat
JOYSOUND	monochrome-coat feat.めらみぽっぷ	monochrome-coat
JOYSOUND	monochrome-coat feat.癒月	monochrome-coat
JOYSOUND	monoROSETTA/めらみぽっぷ(こすもぽりたん)	monoROSETTA
JOYSOUND	monoROSETTA/高井さん(IOSYS)	monoROSETTA
JOYSOUND	monoROSETTA/青葉りんご	monoROSETTA
JOYSOUND	NEKONAMi	NEKONAMi
JOYSOUND	OTAKU-ELITE Recordings/A～YA(SWING HOLIC)	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/あさな	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/あゆ(IOSYS)	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/あゆ+イザベル	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/イザベル+岩杉夏	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/神波千尋	OTAKU-ELITE Recordings
JOYSOUND	OTAKU-ELITE Recordings/神波千尋+白玉高校応援団	OTAKU-ELITE Recordings
JOYSOUND	RD-Sounds feat.めらみぽっぷ	RD-Sounds
JOYSOUND	Re:A&Re:nG	
JOYSOUND	Re:Volte	Re:Volte
JOYSOUND	Re:Volte × saori	Re:Volte
JOYSOUND	Register6	Register6
JOYSOUND	Saga Novel feat.shell	Saga Novel
JOYSOUND	Saga Novel feat.うどんタイマーP	Saga Novel
JOYSOUND	Satellite Himawari	Satellite Himawari
JOYSOUND	SHO	Sonic Hybrid Orchestra
JOYSOUND	Silver Forest feat. Nano	Silver Forest
JOYSOUND	Silver Forest feat. Nano，kiyo，加茂桃歌	Silver Forest
JOYSOUND	Silver Forest feat. アキ	Silver Forest
JOYSOUND	Silver Forest feat. アキ，Fantom	Silver Forest
JOYSOUND	Silver Forest feat. アキ，miko	Silver Forest
JOYSOUND	Silver Forest feat. あやや	Silver Forest
JOYSOUND	Silver Forest feat. あやや，アキ，Fantom，クボタン，希，8013，恭さま	Silver Forest
JOYSOUND	Silver Forest feat. さゆり	Silver Forest
JOYSOUND	Silver Forest feat. さゆり，なつみ	Silver Forest
JOYSOUND	Silver Forest feat. さゆり，なつみ，Nano，スカーレットな迷彩，k-masera，Fantom	Silver Forest
JOYSOUND	Silver Forest feat. なつみ	Silver Forest
JOYSOUND	Silver Forest feat. なつみ，miko	Silver Forest
JOYSOUND	Silver Forest feat. めらみぽっぷ	Silver Forest
JOYSOUND	Sister's Spread-i	Sister's Spread-i
JOYSOUND	SOUND HOLIC feat. 3L	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 3L(NJK Record) & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 709sec. & mao	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 709sec. & Nana Takahashi(高橋菜々)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. A～YA	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. A～YA & きゃろ	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. aki	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. CALEN	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. CALEN & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. GSK48	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Hi-Ne	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Hitomi Harada	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. KAPA(Nana/INOA/REN)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. MARIN	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Mihoko	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. misa	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Nana Takahashi(高橋菜々)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Nana Takahashi(高橋菜々) & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Nana Takahashi(高橋菜々) & CALEN & 西宮れん	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Nana Takahashi(高橋菜々) & ヨッシ～バラン	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Nana Takahashi(高橋菜々) & 西宮れん	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. NeNe	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Shihori	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. SYO	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. SYO & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. SYO & きゃろ	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. SYO & ヨッシ～バラン	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. SYO & 西宮れん	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Tak.K	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Yo-suke	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. Yoko Kubota	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. YURiCa/花たん(THE OTHER FLOWER)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. YURiCa/花たん(THE OTHER FLOWER) & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. きゃろ	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. キュアレイム(CV:Nana) / キュアマリサ(CV:菜々)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. なつみ(Silver Forest)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. めらみぽっぷ	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. ユリカ(cordelia)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. ユリカ(cordelia) & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. ユリカ(cordelia) & ヨッシ～バラン	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. りこ	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 華憐(電気式華憐音楽集団)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 匠眞 & Nana Takahashi	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 神谷真里	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 西宮れん	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 西宮れん & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 美生	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 野宮あゆみ(ALiCE'S EMOTiON)	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 野宮あゆみ(ALiCE'S EMOTiON) & 709sec.	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 癒月	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 有馬美咲	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat. 葉月なの	SOUND HOLIC
JOYSOUND	SOUND HOLIC feat.東方神鬼	SOUND HOLIC
JOYSOUND	Sound Online feat. 佳織みちる	Sound Online
JOYSOUND	Sound Online feat. 坂上なち	Sound Online
JOYSOUND	Sound Online feat. 三澤秋	Sound Online
JOYSOUND	Sound Online feat. 美里	Sound Online
JOYSOUND	Sound Online feat. 野宮あゆみ	Sound Online
JOYSOUND	Sun Flower Field	Sun Flower Field
JOYSOUND	SWING HOLIC feat. A～YA	SWING HOLIC
JOYSOUND	SWING HOLIC feat. Naoko Akimoto	SWING HOLIC
JOYSOUND	SWING HOLIC feat. Shihori	SWING HOLIC
JOYSOUND	SWING HOLIC feat. SYO	SWING HOLIC
JOYSOUND	Syrufit feat. 綾倉盟	Syrufit
JOYSOUND	Syrufit feat. 市松椿/綾倉盟	Syrufit
JOYSOUND	Syrufit feat.(。・x・)ゝ<b!	Syrufit
JOYSOUND	T.Piacere feat.びびあん	T.Piacere
JOYSOUND	T.Piacere feat.ほたる(LUCIOLE*CAFE)	T.Piacere
JOYSOUND	T.Piacere feat.黒崎朔夜	T.Piacere
JOYSOUND	the blankets	the blankets
JOYSOUND	TUMENECO feat. 結月そら(Soranetarium)	TUMENECO
JOYSOUND	TUMENECO feat.tomoya	TUMENECO
JOYSOUND	TUMENECO feat.yukina	TUMENECO
JOYSOUND	TUMENECO feat.yukina&みぃ(GET IN THE RING)	TUMENECO
JOYSOUND	TUMENECO feat.みぃ(GET IN THE RING)	TUMENECO
JOYSOUND	UNDEAD CORPORATION	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat. LIQU@。	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat. めらみぽっぷ	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat. ランコ	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat. 桂琳	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat. 天外冬黄&ウェストヴィレッジ	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat.Rib:y(uhki)	UNDEAD CORPORATION
JOYSOUND	UNDEAD CORPORATION feat.さわけん&Admiral Wisteria Promontory	UNDEAD CORPORATION
JOYSOUND	VAGUEDGE	VAGUEDGE
JOYSOUND	VAGUEDGE feat.℃iel	VAGUEDGE
JOYSOUND	VAGUEDGE feat.うるし	VAGUEDGE
JOYSOUND	Yuel Y.	あぷえぬすたーと！
JOYSOUND	Y本様 ┥┌┿┰【●とえろ漫画家ピクピクン☆	
JOYSOUND	あああああ&シロクロ	あああああ&シロクロ
JOYSOUND	アールグレイ feat.アリス・マーガトロイド	アールグレイ
JOYSOUND	アールグレイ feat.洩矢諏訪子	アールグレイ
JOYSOUND	アールグレイ feat.河城にとり	アールグレイ
JOYSOUND	アールグレイ feat.古明地こいし	アールグレイ
JOYSOUND	アールグレイ feat.古明地さとり	アールグレイ
JOYSOUND	アールグレイ feat.魂魄妖夢	アールグレイ
JOYSOUND	アールグレイ feat.四季映姫	アールグレイ
JOYSOUND	アールグレイ feat.射命丸文	アールグレイ
JOYSOUND	アールグレイ feat.西行寺幽々子	アールグレイ
JOYSOUND	アールグレイ feat.東風谷早苗	アールグレイ
JOYSOUND	アールグレイ feat.東風谷早苗、八坂神奈子、洩矢諏訪子	アールグレイ
JOYSOUND	アールグレイ feat.八坂神奈子	アールグレイ
JOYSOUND	アールグレイ feat.比那名居天子	アールグレイ
JOYSOUND	あまね(COOL&CREATE)	COOL&CREATE
JOYSOUND	あまね+ビートまりお(COOL&CREATE)	COOL&CREATE
JOYSOUND	あらいぐまファクトリー feat.*manna	あらいぐまファクトリー
JOYSOUND	イオシス	イオシス
JOYSOUND	イオシス/℃iel(Capriccioso Cantabile)	イオシス
JOYSOUND	イオシス/>>96(HAPPY I SCREAM!!)	イオシス
JOYSOUND	イオシス/3L	イオシス
JOYSOUND	イオシス/3L(NJK Record)	イオシス
JOYSOUND	イオシス/3L(NJK Record)，龍波しゅういち(IOSYS)，あゆ(IOSYS)	イオシス
JOYSOUND	イオシス/709sec.(SOUND HOLIC)	イオシス
JOYSOUND	イオシス/ARM，ARM子	イオシス
JOYSOUND	イオシス/CAMET	イオシス
JOYSOUND	イオシス/D.watt(IOSYS)	イオシス
JOYSOUND	イオシス/Dummy	イオシス
JOYSOUND	イオシス/Dummy，あさな	イオシス
JOYSOUND	イオシス/Dummy、nyanyannya、龍波しゅういち、メグロユウコ、3L	イオシス
JOYSOUND	イオシス/frayja(Innocent Key)	イオシス
JOYSOUND	イオシス/ichigo(岸田教団&THE明星ロケッツ/JUDGEMENT)	イオシス
JOYSOUND	イオシス/lily-an(Liz Triangle)	イオシス
JOYSOUND	イオシス/LIQU@。(@-dash!)	イオシス
JOYSOUND	イオシス/miko	イオシス
JOYSOUND	イオシス/miko (Alternative ending)	イオシス
JOYSOUND	イオシス/miko，あゆ	イオシス
JOYSOUND	イオシス/miko，あゆ，咲希	イオシス
JOYSOUND	イオシス/miko，ゆか，まり	イオシス
JOYSOUND	イオシス/miko、榎津まお	イオシス
JOYSOUND	イオシス/miko(Alternative ending)・Jenya	イオシス
JOYSOUND	イオシス/miko(Alternative ending)，ビートまりお(COOL&CREATE)	イオシス
JOYSOUND	イオシス/miko/quim	イオシス
JOYSOUND	イオシス/minami	イオシス
JOYSOUND	イオシス/NANA TAKAHASHI(SOUND HOLIC)	イオシス
JOYSOUND	イオシス/Poron	イオシス
JOYSOUND	イオシス/Poron・3L	イオシス
JOYSOUND	イオシス/quim	イオシス
JOYSOUND	イオシス/Shihori(A-one)	イオシス
JOYSOUND	イオシス/void(IOSYS)	イオシス
JOYSOUND	イオシス/witch(Sound CYCLONE)	イオシス
JOYSOUND	イオシス/YAMATO(PEASIDE SOUNDS LABEL)	イオシス
JOYSOUND	イオシス/yonji(Girl's short hair)	イオシス
JOYSOUND	イオシス/あいかぴん(Raise Clamor)	イオシス
JOYSOUND	イオシス/あいかぴん+DD”ナカタ”Metal	イオシス
JOYSOUND	イオシス/あさな	イオシス
JOYSOUND	イオシス/あまね(COOL&CREATE)，ARM(IOSYS)	イオシス
JOYSOUND	イオシス/あまね+ビートまりお(COOL&CREATE)	イオシス
JOYSOUND	イオシス/あゆ	イオシス
JOYSOUND	イオシス/あゆ from KKproject	イオシス
JOYSOUND	イオシス/あゆ・三澤秋・Studioどらごんめいる	イオシス
JOYSOUND	イオシス/あゆ，イザベル，岩杉夏	イオシス
JOYSOUND	イオシス/あゆ，イザベル，神波千尋	イオシス
JOYSOUND	イオシス/あゆ(Dear Chocolat)	イオシス
JOYSOUND	イオシス/あゆ(IOSYS/ACT)，coda(Antp/ACT)	イオシス
JOYSOUND	イオシス/あゆ(イオシス)・nyanyannya(Team.ねこかん[猫])	イオシス
JOYSOUND	イオシス/イザベル	イオシス
JOYSOUND	イオシス/イザベル・岩杉夏	イオシス
JOYSOUND	イオシス/おかあさん	イオシス
JOYSOUND	イオシス/ココ(Innocent Key)	イオシス
JOYSOUND	イオシス/しほり，ARM(IOSYS)	イオシス
JOYSOUND	イオシス/ちよこ	イオシス
JOYSOUND	イオシス/ちよこ(IOSYS)，ARM(IOSYS)	イオシス
JOYSOUND	イオシス/とろ美	イオシス
JOYSOUND	イオシス/はかせ	イオシス
JOYSOUND	イオシス/はかせ feat.しゃちょう	イオシス
JOYSOUND	イオシス/ビートまりお(COOL&CREATE)	イオシス
