karaoke_type	display_artist	circle
JOYSOUND	5150	5150
JOYSOUND	3L(悠杏李)	イオシス
JOYSOUND	9bFOX	9bFOX
JOYSOUND	A-One	A-One
JOYSOUND	A-One×AXEL.K	A-One
JOYSOUND	A-One×AXEL.K，NAGISA	A-One
JOYSOUND	A-One×misa	A-One
JOYSOUND	A-One×Nana Takahashi	A-One
JOYSOUND	A-One×Shihori	A-One
JOYSOUND	A-One×はにーぽけっと	A-One
JOYSOUND	A-One×朱花(VIGNETTE HOUSE)	A-One
JOYSOUND	AdamKadmon feat. めらみぽっぷ	AdamKadmon
JOYSOUND	AdamKadmon feat. 珠梨	AdamKadmon
JOYSOUND	Alstroemeria Records	Alstroemeria Records
JOYSOUND	Amateras Records feat.℃iel	Amateras Records
JOYSOUND	Amateras Records feat.F9	Amateras Records
JOYSOUND	Amateras Records feat.irony	Amateras Records
JOYSOUND	Amateras Records feat.kalon.	Amateras Records
JOYSOUND	Amateras Records feat.kana	Amateras Records
JOYSOUND	Amateras Records feat.KUMI(ヲタみん)	Amateras Records
JOYSOUND	Amateras Records feat.miko	Amateras Records
JOYSOUND	Amateras Records feat.えみぃ	Amateras Records
JOYSOUND	Amateras Records feat.ココ	Amateras Records
JOYSOUND	Amateras Records feat.びびあん	Amateras Records
JOYSOUND	Amateras Records feat.ほたる	Amateras Records
JOYSOUND	Amateras Records feat.めらみぽっぷ	Amateras Records
JOYSOUND	Amateras Records feat.りこ。	Amateras Records
JOYSOUND	Amateras Records feat.柿チョコ	Amateras Records
JOYSOUND	Amateras Records feat.黒崎朔夜	Amateras Records
JOYSOUND	Amateras Records feat.鹿乃	Amateras Records
JOYSOUND	Amateras Records feat.実谷なな	Amateras Records
JOYSOUND	Amateras Records feat.真泉涼夏	Amateras Records
JOYSOUND	Amateras Records feat.築山さえ	Amateras Records
JOYSOUND	Amateras Records feat.茶太	Amateras Records
JOYSOUND	ARMのArmageddon Records/shiho	ARMのArmageddon Records
JOYSOUND	ARMのArmageddon Records/ちよこ	ARMのArmageddon Records
JOYSOUND	ARMのArmageddon Records/山本椛(monotone)，ARM	ARMのArmageddon Records
JOYSOUND	C-CLAYS feat.小峠舞	C-CLAYS
JOYSOUND	C-CLAYS feat.双月彩	C-CLAYS
JOYSOUND	C-CLAYS feat.櫻井アンナ	C-CLAYS
JOYSOUND	CLOCKWORKS TRACER	CLOCKWORKS TRACER
JOYSOUND	Croak Not Rue	Croak Not Rue
JOYSOUND	Digitalic Party feat.39*	Digitalic Party
JOYSOUND	Digitalic Party feat.nanaco	Digitalic Party
JOYSOUND	Digitalic Party feat.えみぃ	Digitalic Party
JOYSOUND	Digitalic Party feat.ぱごだ	Digitalic Party
JOYSOUND	Digitalic Party feat.ゆきまめ	Digitalic Party
JOYSOUND	Digitalic Party feat.美里	Digitalic Party
JOYSOUND	EastNewSound feat.Cryu	EastNewSound
JOYSOUND	EastNewSound feat.miko	EastNewSound
JOYSOUND	EastNewSound feat.nayuta	EastNewSound
JOYSOUND	EastNewSound feat.Tsubaki	EastNewSound
JOYSOUND	EastNewSound feat.いずみん	EastNewSound
JOYSOUND	EastNewSound feat.ななくさなゆ(nayuta)	EastNewSound
JOYSOUND	EastNewSound feat.ハナビ雨季	EastNewSound
JOYSOUND	EastNewSound feat.びびあん	EastNewSound
JOYSOUND	EastNewSound feat.ほたる	EastNewSound
JOYSOUND	EastNewSound feat.まめみ	EastNewSound
JOYSOUND	EastNewSound feat.リツカ	EastNewSound
JOYSOUND	EastNewSound feat.花火うき	EastNewSound
JOYSOUND	EastNewSound feat.黒崎朔夜	EastNewSound
JOYSOUND	EastNewSound feat.紫月菜乃	EastNewSound
JOYSOUND	EastNewSound feat.紫咲ほたる	EastNewSound
JOYSOUND	EastNewSound feat.前菜	EastNewSound
JOYSOUND	EastNewSound feat.築山さえ	EastNewSound
JOYSOUND	EastNewSound feat.茶太	EastNewSound
JOYSOUND	EastNewSound feat.片霧烈火	EastNewSound
JOYSOUND	EastNewSound feat.葉月なの(nayuta)	EastNewSound
JOYSOUND	EastNewSound feat.葉月ゆら	EastNewSound
JOYSOUND	EastNewSound×Halozy feat.いずみん	EastNewSound×Halozy
JOYSOUND	EdelSounds feat.mineko & 蒼 -aoi-	EdelSounds
JOYSOUND	EdelSounds feat.かんろ & 真野紫	EdelSounds
JOYSOUND	efs feat.阿部左	efs
JOYSOUND	efs feat.結城京華	efs
JOYSOUND	efs feat.野瀬冬弥	efs
JOYSOUND	EIKI`	illuCanon
JOYSOUND	Elemental Records feat.西村ちさと	Elemental Records
JOYSOUND	Foreground Eclipse	Foreground Eclipse
JOYSOUND	GET IN THE RING feat.みぃ	GET IN THE RING
JOYSOUND	GET IN THE RING feat.みぃ、℃iel	GET IN THE RING
JOYSOUND	Innocent Key & A-OneとShihori	Innocent Key
JOYSOUND	Innocent Key & ARMとmiko	Innocent Key
JOYSOUND	Innocent Key & ARMとmiko VS 陽介神父、溝口ゆうま	Innocent Key
JOYSOUND	Innocent Key & D.wattとmiko	Innocent Key
JOYSOUND	Innocent Key & Sound CYCLONEと℃iel、大瀬良あい、しゃばだばと愉快な仲間たち	Innocent Key
JOYSOUND	Innocent Key & Soy-SOUTHと℃iel	Innocent Key
JOYSOUND	Innocent Key & 柏木るざりんと℃iel	Innocent Key
JOYSOUND	Innocent Key & 柏木るざりんとココ、℃iel	Innocent Key
JOYSOUND	Innocent Key & 柏木るざりんと城戸千絵	Innocent Key
JOYSOUND	Innocent Key&A-OneとRayna	Innocent Key
JOYSOUND	Innocent Key&Aikawa Razunaとwitch	Innocent Key
JOYSOUND	Innocent Key&Aikawa Razunaと真野紫	Innocent Key
JOYSOUND	Innocent Key&ARMと岩杉夏、苦い人	Innocent Key
JOYSOUND	Innocent Key&D.wattと96、Nimo、ココ	Innocent Key
JOYSOUND	Innocent Key&D.wattとめらみぽっぷ、ココ	Innocent Key
JOYSOUND	Innocent Key&D.wattとめらみぽっぷ、大瀬良あい、Nimo、ココ、梨本悠里	Innocent Key
JOYSOUND	Innocent Key&LOLI.COMとココ	Innocent Key
JOYSOUND	Innocent Key&Meis Clausonとランコ	Innocent Key
JOYSOUND	Innocent Key&SAMとめらみぽっぷ	Innocent Key
JOYSOUND	Innocent Key&SAMと真野紫	Innocent Key
JOYSOUND	Innocent Key&SH.Ammy'sと真野紫、Rayna、梨本悠里、大瀬良あい	Innocent Key
JOYSOUND	Innocent Key&SHMと大瀬良あい	Innocent Key
JOYSOUND	Innocent Key&SOUND HOLICとShihori	Innocent Key
JOYSOUND	Innocent Key&SuccubusとRayna	Innocent Key
JOYSOUND	Innocent Key&Succubusと謎の人物K	Innocent Key
JOYSOUND	Innocent Key&Succubusと凛	Innocent Key
JOYSOUND	Innocent Key&taskと大瀬良あい	Innocent Key
JOYSOUND	Innocent Key&すぺらんかーと小宮真央	Innocent Key
JOYSOUND	Innocent Key&デッドボールPと真野紫	Innocent Key
JOYSOUND	Innocent Key&ふくPとめらみぽっぷ、ココ	Innocent Key
JOYSOUND	Innocent Key&鯛の小骨とココ、大瀬良あい	Innocent Key
JOYSOUND	Innocent Key&鯛の小骨と真野紫	Innocent Key
JOYSOUND	Innocent Key&柏木るざりんとmiko	Innocent Key
JOYSOUND	Innocent Key&流歌と真野紫	Innocent Key
JOYSOUND	Innocent Keyと℃iel	Innocent Key
JOYSOUND	Innocent Keyと℃iel、JUNCA、しゃばだば、大瀬良あい、miko	Innocent Key
JOYSOUND	Innocent Keyと3L、大瀬良あい、ココ	Innocent Key
JOYSOUND	Innocent KeyとENKU	Innocent Key
JOYSOUND	Innocent KeyとJUNCA	Innocent Key
JOYSOUND	Innocent KeyとJUNCA、ココ	Innocent Key
JOYSOUND	Innocent KeyとJUNCA、大瀬良あい	Innocent Key
JOYSOUND	Innocent Keyとmiko、大瀬良あい、ココ、梨本悠里、樹詩音	Innocent Key
JOYSOUND	Innocent Keyとmiko、梨本悠里、ココ	Innocent Key
JOYSOUND	Innocent KeyとNimo	Innocent Key
JOYSOUND	Innocent KeyとNimo、ココ、大瀬良あい	Innocent Key
JOYSOUND	Innocent KeyとNimo、コツキミヤ	Innocent Key
JOYSOUND	Innocent KeyとNimo、樹詩音、ココ、梨本悠里	Innocent Key
JOYSOUND	Innocent KeyとNimo、小宮真央、大瀬良あい、梨本悠里、樹詩音、ココ	Innocent Key
JOYSOUND	Innocent KeyとNimo、大瀬良あい	Innocent Key
JOYSOUND	Innocent KeyとRayna	Innocent Key
JOYSOUND	Innocent Keyとshihori	Innocent Key
JOYSOUND	Innocent Keyとwitch	Innocent Key
JOYSOUND	Innocent Keyとyonji	Innocent Key
JOYSOUND	Innocent Keyとyuiko	Innocent Key
JOYSOUND	Innocent Keyとココ	Innocent Key
JOYSOUND	Innocent Keyとココ、Nimo	Innocent Key
JOYSOUND	Innocent Keyとココ、Nimo、しゃばだば、やまだん、大瀬良あい	Innocent Key
JOYSOUND	Innocent Keyとココ、小宮真央、梨本悠里、miko、大瀬良あい、Nimo	Innocent Key
JOYSOUND	Innocent Keyとココ、大瀬良あい	Innocent Key
JOYSOUND	Innocent Keyとココ、梨本悠里	Innocent Key
JOYSOUND	Innocent Keyとココ、梨本悠里、岩杉夏、めらみぽっぷ、大瀬良あい、Nimo	Innocent Key
JOYSOUND	Innocent Keyとココ、梨本悠里、溝口ゆうま	Innocent Key
JOYSOUND	Innocent Keyとココと真野紫	Innocent Key
JOYSOUND	Innocent Keyとしゃばだば、水瀬修withしゃばだば愚連隊 VS gak	Innocent Key
JOYSOUND	Innocent Keyとみずたま	Innocent Key
JOYSOUND	Innocent Keyとめらみぽっぷ	Innocent Key
JOYSOUND	Innocent Keyとめらみぽっぷ、ココ	Innocent Key
JOYSOUND	Innocent Keyとめらみぽっぷ、大瀬良あい、Nimo、ココ、梨本悠里	Innocent Key
JOYSOUND	Innocent Keyとゆきまめ	Innocent Key
JOYSOUND	Innocent Keyとランコ	Innocent Key
JOYSOUND	Innocent Keyと苦い人、海斗、大瀬良あい、ココ	Innocent Key
JOYSOUND	Innocent Keyと樹詩音	Innocent Key
JOYSOUND	Innocent Keyと樹詩音、ENKU	Innocent Key
JOYSOUND	Innocent Keyと樹詩音、ココ、小宮真央	Innocent Key
JOYSOUND	Innocent Keyと樹詩音、小宮真央	Innocent Key
JOYSOUND	Innocent Keyと小宮真央	Innocent Key
JOYSOUND	Innocent Keyと小宮真央、ココ	Innocent Key
JOYSOUND	Innocent Keyと真野紫	Innocent Key
JOYSOUND	Innocent Keyと大瀬良あい	Innocent Key
JOYSOUND	Innocent Keyと大瀬良あい、梨本悠里	Innocent Key
JOYSOUND	Innocent Keyと陽介神父、ココ	Innocent Key
JOYSOUND	Innocent Keyと陽介神父、ココ、梨本悠里	Innocent Key
JOYSOUND	Innocent Keyと梨本悠里、JUNCA、小宮真央、樹詩音、大瀬良あい	Innocent Key
JOYSOUND	Innocent Keyと梨本悠里、JUNCA、大瀬良あい、ココ、Nimo、Innocent Keyと愉快な仲間達	Innocent Key
JOYSOUND	Innocent Keyと梨本悠里、ココ、大瀬良あい、しゃばだば	Innocent Key
JOYSOUND	IRON ATTACK!	IRON ATTACK!
JOYSOUND	J&B feat. うぇり	J&B
JOYSOUND	J&B feat. 藍	J&B
JOYSOUND	J&B feat. 藍/うぇり	J&B
JOYSOUND	JF UNION feat.井上みゆ	JF UNION
