karaoke_type	display_artist	circle
DAM	SOUND HOLIC feat.ユリカ(cordelia)&709sec.	SOUND HOLIC
DAM	SOUND HOLIC feat.匠眞	SOUND HOLIC
DAM	SOUND HOLIC feat.野宮あゆみ(ALiCE'S EMOTiON)	SOUND HOLIC
DAM	SOUND HOLIC feat.葉月なの	SOUND HOLIC
DAM	SOUND HOLIC feat.めらみぽっぷ	SOUND HOLIC
DAM	Sound Online feat.三澤秋	Sound Online
DAM	Sound Online feat.美里	Sound Online
DAM	Sound Online feat.坂上なち	Sound Online
DAM	Sound Online feat.佳織みちる	Sound Online
DAM	Sound Online feat.野宮あゆみ	Sound Online
DAM	SYNC.ART'S/美里	SYNC.ART'S
DAM	SYNC.ART'S/真崎エリカ	SYNC.ART'S
DAM	SYNC.ART'S/仲村芽衣子	SYNC.ART'S
DAM	SYNC.ART'S/miko	SYNC.ART'S
DAM	SYNC.ART'S/桃梨&遊女	SYNC.ART'S
DAM	SYNC.ART'S/なつみ	SYNC.ART'S
DAM	SYNC.ART'S/宮簀月菜	SYNC.ART'S
DAM	SYNC.ART'S/遊女	SYNC.ART'S
DAM	SYNC.ART'S/櫻井アンナ	SYNC.ART'S
DAM	SYNC.ART'S/TERRA(MintJam)	SYNC.ART'S
DAM	SYNC.ART'S/桃梨、遊女、葉山りく	SYNC.ART'S
DAM	SYNC.ART'S/坂上なち	SYNC.ART'S
DAM	SYNC.ART'S/桃梨	SYNC.ART'S
DAM	TaNaBaTa	TaNaBaTa
DAM	TUMENECO feat.yukina	TUMENECO
DAM	TUMENECO feat.yukina&みぃ	TUMENECO
DAM	TUMENECO & GET IN THE RING feat.みぃ	TUMENECO
DAM	Unlucky Morpheus	Unlucky Morpheus
DAM	ZYTOKINE	ZYTOKINE
DAM	ZYTOKINE feat. cold kiss(Nana Takahashi x Linjin)	ZYTOKINE
DAM	ふぉれすとぴれお feat.ランコ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.kana	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.ルシュカ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.めらみぽっぷ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.紫月菜乃	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.ななひら	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.Φ串Φ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.葉月なの	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.南条あきら	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.ココ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.実谷なな	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.かざはな、まめこ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.うるし	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.みぃしゃ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.夢璃花	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.りゃく	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.エミコ	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.すもも	ふぉれすとぴれお
DAM	ふぉれすとぴれお feat.リズナ	ふぉれすとぴれお
DAM	ふぉれすとぴれおfeat.まめこ	ふぉれすとぴれお
DAM	へたのよこずき	へたのよこずき
DAM	らっぷびと	
DAM	イノライ	イノライ
DAM	イロドリミドリ	イロドリミドリ
DAM	セブンスヘブンMAXION feat. 小田ユウ	セブンスヘブンMAXION
DAM	イオシス/miko(Alternative ending),quim(IOSYS)	イオシス
DAM	イオシス	イオシス
DAM	イオシス/miko(Alternative ending),quim(IOSYS),しゃちょう(IOSYS)	イオシス
DAM	イオシス/3L	イオシス
DAM	イオシス/ななひら(Confetto)	イオシス
DAM	イオシス/抹&ytr&らっぷびと(魂音泉)	イオシス
DAM	イオシス/miko,ゆか,まり,安田陽子	イオシス
DAM	イオシス/ビートまりお(COOL&CREATE),あまね(COOL&CREATE)	イオシス
DAM	イオシス/山本椛(monotone)	イオシス
DAM	イオシス/藤枝あかね	イオシス
DAM	イオシス/岩杉夏	イオシス
DAM	イオシス/miko(Alternative ending)	イオシス
DAM	イオシス/Poron	イオシス
DAM	イオシス/めらみぽっぷ(こすもぽりたん)	イオシス
DAM	イオシス/ヒナコ	イオシス
DAM	イオシス/あゆ(KKproject)	イオシス
DAM	イオシス/miko(Alternative Ending),ココ(Innocent Key),96(IOSYS),岩杉夏	イオシス
DAM	イオシス/悠杏李	イオシス
DAM	イオシス/桃井はるこ	イオシス
DAM	イオシス/神波千尋	イオシス
DAM	イオシス/Dummy,nyanyannya(Team.ねこかん[猫]),龍波しゅういち(Studioどらごんめいる),メグロユウコ,3L	イオシス
DAM	イオシス/ランコ(豚乙女)	イオシス
DAM	イオシス/あさな	イオシス
DAM	イオシス/藤咲かりん	イオシス
DAM	イオシス/藤原鞠菜	イオシス
DAM	イオシス/miko(Alternative ending),あゆ,咲希	イオシス
DAM	イオシス/miko(Alternative ending),榎津まお	イオシス
DAM	イオシス/CAMET	イオシス
DAM	イオシス/イザベル	イオシス
DAM	イオシス/ビートまりお(COOL&CREATE),ARM(IOSYS)	イオシス
DAM	イオシス/あゆ(IOSYS),nyanyannya(Team.ねこかん[猫])	イオシス
DAM	イオシス/frayja(Innocent Key)	イオシス
DAM	イオシス/あゆ,咲希	イオシス
DAM	イオシス/Dummy,あさな	イオシス
DAM	イオシス/miko(Alternative ending)/quim(IOSYS)	イオシス
DAM	イオシス/あゆ	イオシス
DAM	イオシス/おかあさん	イオシス
DAM	イオシス/ゆか	イオシス
DAM	イオシス/ARM feat.初音ミク	イオシス
DAM	イオシス/void feat.IA	イオシス
DAM	イオシス/あいかぴん	イオシス
DAM	イオシス/イザベル,岩杉夏	イオシス
DAM	イオシス/NANA TAKAHASHI(SOUND HOLIC)	イオシス
DAM	イオシス/Dummy,あゆ from KKproject	イオシス
DAM	イオシス/miko(Alternative ending),Jenya	イオシス
DAM	イオシス/quim(IOSYS)	イオシス
DAM	東方キャノンボール(博麗霊夢(CV.鬼頭明里)・霧雨魔理沙(CV.飯沼南実))	
DAM	RD-Sounds	RD-Sounds
DAM	少女フラクタル(天宮みや&姫城碧海)	少女フラクタル
DAM	少女フラクタル(天宮みや)	少女フラクタル
DAM	少女フラクタル(天宮みや&柚木梨沙)	少女フラクタル
