artist	title	original_songs
3L(悠杏李)	Phantasmagoria mystical expectation	風神少女　 (Short Version)
5150	Liberate	少女神性　～ Pandora's Box
5150	Power of Lightning	魔法少女十字軍
5150	Symphony of Deep Red	ほおずきみたいに紅い魂
5150	Fear	霊知の太陽信仰　～ Nuclear Fusion
5150	東方は炎の如く!!	東方萃夢想/東方緋想天
5150	Cannibalism	U.N.オーエンは彼女なのか？
5150	Guardians Revival	Reincarnation
5150	Remilia Is The Law	亡き王女の為のセプテット
5150	black shooting star	風神少女
5150	Nostalgic Blood	懐かしき東方の血　～ Old World
5150	Battle Burning	有頂天変　～ Wonderful Heaven
5150	Alice in Wonderland 5150	不思議の国のアリス/人形裁判　～ 人の形弄びし少女
5150	The Last Justice	六十年目の東方裁判　～ Fate of Sixty Years
5150	Steel of Fire	ほおずきみたいに紅い魂
5150	Eyeball	少女さとり　～ 3rd eye
5150	Chaos in Brain	業火マントル
5150	SAMURAI SWORD	東方妖々夢　～ Ancient Temple/アルティメットトゥルース/幽雅に咲かせ、墨染の桜　～ Border of Life
5150	The Flowering Night	フラワリングナイト
5150	Battle Warrior!!	東方妖恋談/少女綺想曲　～ Dream Battle
5150	Light for Life	幻視の夜　～ Ghostly Eyes/蠢々秋月　～ Mooned Insect
5150	Violent Moon	メイドと血の懐中時計
5150	Dark Cloud	平安のエイリアン
5150	限界突破	Reincarnation/恋色マスタースパーク
5150	Feeling Explosion	死体旅行　～ Be of good cheer!
5150	Homicide Maid，from pavilion	月時計　～ ルナ・ダイアル
5150	MASTER SPARK	恋色マスタースパーク
5150	Mighty Girl of the Supernatural	信仰は儚き人間の為に
5150	Immortal	ネクロファンタジア
5150	Emotion	無何有の郷　～ Deep Mountain
9bFOX	Good morning	死霊の夜桜
A-One	Lunatic Paradise	月時計　～ ルナ・ダイアル
A-One	REASON for RED	人恋し神様　～ Romantic Fall/御柱の墓場　～ Grave of Being
A-One	Cage to Heart	シンデレラケージ　～ Kagome-Kagome/狂気の瞳　～ Invisible Full Moon
A-One	Don't Break Me Down	U.N.オーエンは彼女なのか？
A-One	Scream out!	明日ハレの日、ケの昨日/ネイティブフェイス
A-One	ゼンマイ恋時計 (T.E.B Summer Mix)	遠野幻想物語/ティアオイエツォン(withered leaf)
A-One	BURNIN' BLOOD	エクステンドアッシュ　～ 蓬莱人/月まで届け、不死の煙
A-One	Real Survivor	夜が降りてくる　～ Evening Star/御伽の国の鬼が島　～ Missing Power
A-One	Time to count a relation	妖々跋扈　～ Who done it!/ネクロファンタジア
A-One	SPEEDY NIGHT	オリエンタルダークフライト
A-One	PLAY MY GAME	春の湊に/小さな小さな賢将
A-One	Darkish	厄神様の通り道　～ Dark Road/運命のダークサイド
A-One	Get it Done	人形裁判　～ 人の形弄びし少女/幽霊楽団　～ Phantom Ensemble
A-One	Energy Flight	春色小径　～ Colorful Path/オリエンタルダークフライト
A-One	God Bless You!!	永夜抄　～ Eastern Night./永夜の報い　～ Imperishable Night.
A-One	Call of truth	もう歌しか聞こえない　～ Flower Mix/風神少女　 (Short Version)
A-One	Sky Parade	風神少女/妖怪の山　～ Mysterious Mountain
A-One	God Blaster	古きユアンシェン
A-One	Day Dream	神々が恋した幻想郷
A-One×AXEL.K	MUTABLE STORY	運命のダークサイド
A-One×AXEL.K	From Hell Garden	封じられた妖怪　～ Lost Place
A-One×AXEL.K	LAST EMOTION	ラストリモート
A-One×AXEL.K	PLAY MY GAME(Men's)	春の湊に/小さな小さな賢将
A-One×AXEL.K	Life is Over	法界の火/感情の摩天楼　～ Cosmic Mind
A-One×AXEL.K，NAGISA	KAKEHIKI	少女綺想曲　～ Dream Battle/恋色マスタースパーク
A-One×Nana Takahashi	Dive into The Sky〈initialized〉	風神少女
A-One×Shihori	Play My Game(Lady's)	春の湊に/小さな小さな賢将
A-One×Shihori	恋のスターライト☆デート	恋色マスタースパーク
A-One×Shihori	激情	フォールオブフォール　～ 秋めく滝
A-One×Shihori	OK!KissME!	暗闇の風穴
A-One×Shihori	少女修行中…	神々が恋した幻想郷
A-One×Shihori	焔の海	廃獄ララバイ
A-One×Shihori	みんなで大空マジック!!	大空魔術　～ Magical Astronomy
A-One×Shihori	ToRyan-Se	少女さとり　～ 3rd eye
A-One×misa	Jealousy	緑眼のジェラシー
A-One×はにーぽけっと	キラリ星	感情の摩天楼　～ Cosmic Mind
A-One×はにーぽけっと	蝕む恋の行方	死体旅行　～ Be of good cheer!
A-One×はにーぽけっと	深い霧	U.N.オーエンは彼女なのか？
A-One×はにーぽけっと	藍色drop	ラストリモート
A-One×はにーぽけっと	uso tsu ki	六十年目の東方裁判　～ Fate of Sixty Years
A-One×朱花(VIGNETTE HOUSE)	Eternity Ring	懐かしき東方の血　～ Old World
ARMのArmageddon Records/shiho	犬走りダッシュ	フォールオブフォール　～ 秋めく滝
ARMのArmageddon Records/ちよこ	赤い靴はどこへ	廃獄ララバイ
ARMのArmageddon Records/山本椛(monotone)，ARM	memories	東方妖々夢　～ Ancient Temple
AdamKadmon feat. めらみぽっぷ	青の都	古きユアンシェン
AdamKadmon feat. 珠梨	Mystic White	感情の摩天楼　～ Cosmic Mind
AdamKadmon feat. 珠梨	儚い恋唄	魔法少女達の百年祭
AdamKadmon feat. 珠梨	切ない夜のMermaid	秘境のマーメイド
AdamKadmon feat. 珠梨	The shade	孤独なウェアウルフ
AdamKadmon feat. 珠梨	蛍	柳の下のデュラハン
AdamKadmon feat. 珠梨	stella	大神神話伝
AdamKadmon feat. 珠梨	死神×Resistance	リバースイデオロギー
AdamKadmon feat. 珠梨	桜風花	死霊の夜桜
AdamKadmon feat. 珠梨	月夜に揺れて	U.N.オーエンは彼女なのか？
AdamKadmon feat. 珠梨	Prayer	天空のグリニッジ
AdamKadmon feat. 珠梨	月詠夜行列車	満月の竹林
Alstroemeria Records	REDSOUL feat.ayame《レコおと》	ほおずきみたいに紅い魂
Alstroemeria Records	ARROW RAIN feat.ayame《レコおと》	亡き王女の為のセプテット
Alstroemeria Records	SACRIFICE feat.ayame《レコおと》	月まで届け、不死の煙
Alstroemeria Records	Bad Apple!! feat.nomico	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico《レコおと》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico 影絵ver.	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico 影絵ver.《本人映像》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico 影絵ver.《本人歌唱映像》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico《レコおと(うたいり)》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico (Nhato Remix)	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico (Nhato Remix)《レコおと》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico(豚乙女 Ver.)	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico(豚乙女 Ver.)《レコおと》	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico (TOS Remix) feat.抹，ytr	Bad Apple!!
Alstroemeria Records	Bad Apple!! feat.nomico (TOS Remix) feat.抹，ytr《レコおと》	Bad Apple!!
Alstroemeria Records	Reassemblage feat.ayame《レコおと》	法界の火
Alstroemeria Records	Spring Pink feat.nomico《レコおと》	桜色の海を泳いで
Alstroemeria Records	Magic of Shade feat.mikicco《レコおと》	魔法の笠地蔵
Alstroemeria Records	White Crow feat.Camellia《レコおと》	リバースイデオロギー
Alstroemeria Records	White Traveler feat.ayame《レコおと》	白い旅人
Alstroemeria Records	Moonlight Destiny feat.nomico《レコおと》	永遠の満月
Alstroemeria Records	letter by letter feat.miketama《レコおと》	久遠の楽園
Alstroemeria Records	Internal Ability feat.nomico《レコおと》	霊人の休日
Alstroemeria Records	Lost Emotion feat.nomico《レコおと》	亡失のエモーション
Alstroemeria Records	Gray of Daybreak feat.nomico《レコおと》	夢想時空
Alstroemeria Records	Red Eyes Rabbit feat.mikicco《レコおと》	お宇佐さまの素い幡
Alstroemeria Records	Necro Fantasia feat.misato《レコおと》	ネクロファンタジア
Alstroemeria Records	lumiere ambree: feat.ayame《レコおと》	風神少女　 (Short Version)
Alstroemeria Records	Linaria feat.ayame《レコおと》	恋色マスタースパーク
Amateras Records feat.F9	Red Catastrophe	紅楼　～ Eastern Dream...
Amateras Records feat.F9	寂しさのLeaf	佐渡の二ッ岩
Amateras Records feat.F9	刹那のMisty	もう歌しか聞こえない
Amateras Records feat.KUMI(ヲタみん)	真愛理論	亡き王女の為のセプテット
Amateras Records feat.KUMI(ヲタみん)	失恋色した涙(cittan* Remix)	上海紅茶館　～ Chinese Tea
Amateras Records feat.KUMI(ヲタみん)	砂上のFILTER	妖怪の山　～ Mysterious Mountain
Amateras Records feat.KUMI(ヲタみん)	Luv For U	U.N.オーエンは彼女なのか？
Amateras Records feat.KUMI(ヲタみん)	暴露衝動	門前の妖怪小娘
Amateras Records feat.KUMI(ヲタみん)	失恋色した涙 (8#Prince Remix)	上海紅茶館　～ Chinese Tea
Amateras Records feat.KUMI(ヲタみん)	失恋色した涙	上海紅茶館　～ Chinese Tea
Amateras Records feat.KUMI(ヲタみん)	わがままトリック	恋色マスタースパーク
Amateras Records feat.KUMI(ヲタみん)	Twinkle Twinkle	感情の摩天楼　～ Cosmic Mind
Amateras Records feat.irony	サヨナラの距離	フォールオブフォール　～ 秋めく滝
Amateras Records feat.irony	Justice Ruler	大神神話伝
Amateras Records feat.irony	孤独なSymphonia	春の湊に
Amateras Records feat.kalon.	Hollow Forgotten World	万年置き傘にご注意を
Amateras Records feat.kana	Believer (Amane Hardcore Remix)	ルーネイトエルフ
Amateras Records feat.kana	Believer	ルーネイトエルフ
Amateras Records feat.kana	パブロフの犠牲者 -Love Rule-	感情の摩天楼　～ Cosmic Mind
Amateras Records feat.miko	Under The Rose	ラストリモート
Amateras Records feat.miko	Impact Factor	妖魔夜行
Amateras Records feat.miko	天邪鬼	人形裁判　～ 人の形弄びし少女
Amateras Records feat.℃iel	The Beginning of the End	神々が恋した幻想郷
Amateras Records feat.えみぃ	イヴの想い	ヴワル魔法図書館
Amateras Records feat.えみぃ	Tear Rain	魔法少女達の百年祭
Amateras Records feat.びびあん	君という花	天空の花の都
Amateras Records feat.びびあん	天使CIRCLE	無何有の郷　～ Deep Mountain
Amateras Records feat.びびあん	Regret	デザイアドライブ
Amateras Records feat.びびあん	両手で掬う涙のワケ	妖魔夜行
Amateras Records feat.ほたる	ホシノハジマリ	千年幻想郷　～ History of the Moon
Amateras Records feat.ほたる	Dream Dream Dream	the Last Judgement
Amateras Records feat.ほたる	ふわり日和	おてんば恋娘
Amateras Records feat.ほたる	ツキノテラス	狂気の瞳　～ Invisible Full Moon
Amateras Records feat.ほたる	Another For Happy	少女さとり　～ 3rd eye
Amateras Records feat.めらみぽっぷ	KINDNESSの分解	素敵な墓場で暮しましょ
Amateras Records feat.りこ。	想 ～unfinished dream～	小さな欲望の星空
Amateras Records feat.りこ。	幾星霜の夜空	欲深き霊魂
Amateras Records feat.ココ	背伸びした恋心	おてんば恋娘
Amateras Records feat.ココ	無限のInnocence	竹取飛翔　～ Lunatic Princess
Amateras Records feat.ココ	廻り、廻る	幽雅に咲かせ、墨染の桜　～ Border of Life
Amateras Records feat.ココ	背伸びした恋心(Hommarju EUROBEAT Remix)	おてんば恋娘
Amateras Records feat.実谷なな	Closed To You	幽雅に咲かせ、墨染の桜　～ Border of Life
Amateras Records feat.実谷なな	終わり無き空論	U.N.オーエンは彼女なのか？
Amateras Records feat.実谷なな	「ただいま」を、「おかえり」を	少女綺想曲　～ Dream Battle
Amateras Records feat.実谷なな	Noisy Happiness	蠢々秋月　～ Mooned Insect
Amateras Records feat.柿チョコ	Lost Traveler	夢消失　～ Lost Dream
Amateras Records feat.真泉涼夏	シャンゼリゼ	亡き王女の為のセプテット
Amateras Records feat.築山さえ	Secret Melody	ルーネイトエルフ
Amateras Records feat.築山さえ	十六夜心	メイドと血の懐中時計
Amateras Records feat.茶太	Important Lie	亡き王女の為のセプテット
Amateras Records feat.鹿乃	白雪の魔女	幻視の夜　～ Ghostly Eyes
Amateras Records feat.鹿乃	キミという特異点	死霊の夜桜
Amateras Records feat.鹿乃	誘惑ディナータイム (Nhato Remix)	明治十七年の上海アリス
Amateras Records feat.鹿乃	誘惑ディナータイム	明治十七年の上海アリス
Amateras Records feat.黒崎朔夜	哀色Promise	懐かしき東方の血　～ Old World
Amateras Records feat.黒崎朔夜	Another Frontier	紅楼　～ Eastern Dream...
Amateras Records feat.黒崎朔夜	哀シミノ旋律	ゴーストリード
Amateras Records feat.黒崎朔夜	哀シミノ旋律 (Amane Jumpstyle Remix)	ゴーストリード
Amateras Records feat.黒崎朔夜	Follow Me， Set Me Free	風神少女
C-CLAYS feat.双月彩	哀しみに霞む摩天楼	神々が恋した幻想郷
C-CLAYS feat.小峠舞	Visualize ～愛しき人へ～	アルティメットトゥルース
C-CLAYS feat.小峠舞	純真Velvet	エクステンドアッシュ　～ 蓬莱人
C-CLAYS feat.小峠舞	Whirling Truth	厄神様の通り道　～ Dark Road
C-CLAYS feat.小峠舞	Iris Joker	死体旅行　～ Be of good cheer!
C-CLAYS feat.小峠舞	Shiny Up!	東方妖怪小町
C-CLAYS feat.小峠舞	空振りサディスティック	平安のエイリアン
C-CLAYS feat.小峠舞	Spring Shower	ネクロファンタジア
C-CLAYS feat.櫻井アンナ	Nymphaea	ネイティブフェイス
CLOCKWORKS TRACER	Bride Of Despair	少女さとり　～ 3rd eye
CLOCKWORKS TRACER	Fatal Disobedience	春色小径　～ Colorful Path
Croak Not Rue	m9(・x・)	お宇佐さまの素い幡
Croak Not Rue	夜霧座の道化師	月時計　～ ルナ・ダイアル
Croak Not Rue	Deus Ex Machina	天空のグリニッジ
Croak Not Rue	森の底のローレライ	もう歌しか聞こえない
Croak Not Rue	たとえどんな切ない恋をしたって	今昔幻想郷　～ Flower Land
Croak Not Rue	双つの葛籠	緑眼のジェラシー
Croak Not Rue	月を撃ち落とす弾丸	狂気の瞳　～ Invisible Full Moon
Digitalic Party feat.39*	Lonely-Tiger	虎柄の毘沙門天
Digitalic Party feat.39*	nonexistence	厄神様の通り道　～ Dark Road/運命のダークサイド
Digitalic Party feat.39*	Under Unaltered Unconscious	ラストリモート/ハルトマンの妖怪少女
Digitalic Party feat.nanaco	Flare	霊知の太陽信仰　～ Nuclear Fusion
Digitalic Party feat.えみぃ	Chocolate Latte	少女綺想曲　～ Dream Battle
Digitalic Party feat.えみぃ	False color undefined	平安のエイリアン
Digitalic Party feat.ぱごだ	Glamorous Moon	プレインエイジア
Digitalic Party feat.ゆきまめ	MUK ～マジカルアンブレラ☆小傘～	万年置き傘にご注意を
Digitalic Party feat.美里	Sick for Sick	少女さとり　～ 3rd eye
EIKI`	チルノのすうがく教室	おてんば恋娘
EastNewSound feat.Cryu	奏で穿て、東雲の彼方へ	永遠の巫女
EastNewSound feat.Cryu	Your Color	上海紅茶館　～ Chinese Tea
EastNewSound feat.Cryu	咲き届け、春へ至る音	天空の花の都
EastNewSound feat.Cryu	海神の城	感情の摩天楼　～ Cosmic Mind
EastNewSound feat.Cryu	Titleless Sights	風神少女
EastNewSound feat.Cryu	盲想	大神神話伝
EastNewSound feat.Tsubaki	the 4seasons 4u	稲田姫様に叱られるから
EastNewSound feat.Tsubaki	幻想郷祭囃子(秋)	神々が恋した幻想郷
EastNewSound feat.Tsubaki	Sadistic Paranoia	少女さとり　～ 3rd eye
EastNewSound feat.Tsubaki	紅 6.0 Records(ver 0.1)	千年幻想郷　～ History of the Moon
EastNewSound feat.Tsubaki	ひとしずく	千年幻想郷　～ History of the Moon
EastNewSound feat.Tsubaki	悖徳数列組曲(x≒y)	狂気の瞳　～ Invisible Full Moon
EastNewSound feat.Tsubaki	かくて私はルートを辿る	星の器　～ Casket of Star
EastNewSound feat.Tsubaki	miss illusion	有頂天変　～ Wonderful Heaven
EastNewSound feat.Tsubaki	mind rain	万年置き傘にご注意を
EastNewSound feat.Tsubaki	愛情パンデミック	ネイティブフェイス
EastNewSound feat.miko	demarcation line	ルーネイトエルフ
EastNewSound feat.nayuta	無炎舞踊≠循環	霊知の太陽信仰　～ Nuclear Fusion
EastNewSound feat.nayuta	緋色月下、狂咲ノ絶〈1st Anniversary Remix〉	U.N.オーエンは彼女なのか？
EastNewSound feat.nayuta	風導星歌、黎明ノ景	少女が見た日本の原風景
EastNewSound feat.いずみん	dark wing complex	風神少女
EastNewSound feat.いずみん	幻奏幻花、届かずの音色	広有射怪鳥事　～ Till When?
EastNewSound feat.いずみん	VANISHING POINT「/」	ネクロファンタジア
EastNewSound feat.いずみん	Ten made to do key!	月まで届け、不死の煙
EastNewSound feat.ななくさなゆ(nayuta)	死奏憐音、玲瓏ノ終	幽雅に咲かせ、墨染の桜　～ Border of Life
EastNewSound feat.びびあん	アクセル・オーバー	春色小径　～ Colorful Path
EastNewSound feat.びびあん	Miniature Garden ～変わらぬ想い～	シンデレラケージ　～ Kagome-Kagome
EastNewSound feat.ほたる	booklet choir	ヴワル魔法図書館
EastNewSound feat.ほたる	White Wish	東方妖々夢　～ Ancient Temple
EastNewSound feat.まめみ	Lazy kiss	恋色マスタースパーク
EastNewSound feat.まめみ	infinite universe	エクステンドアッシュ　～ 蓬莱人
EastNewSound feat.ハナビ雨季	etching summary	オリエンタルダークフライト
EastNewSound feat.リツカ	My direction	小さな小さな賢将
EastNewSound feat.リツカ	One Day's Memory	ヴォヤージュ1969
EastNewSound feat.リツカ	song for bird	キャプテン・ムラサ
EastNewSound feat.リツカ	Run up shooting star	恋色マスタースパーク
EastNewSound feat.リツカ	Black Lotus	フラワリングナイト
EastNewSound feat.リツカ	人形よ問うコトなかれ	人形裁判　～ 人の形弄びし少女
EastNewSound feat.前菜	極白色のエデン	妖怪寺
EastNewSound feat.前菜	Together in the sky	ルーネイトエルフ
EastNewSound feat.前菜	片月下円舞曲	少女さとり　～ 3rd eye
EastNewSound feat.前菜	蒼影 ～Ancient Unicorn～	紅楼　～ Eastern Dream...
EastNewSound feat.片霧烈火	Fractal Cage	感情の摩天楼　～ Cosmic Mind
EastNewSound feat.築山さえ	少女が見た過去の記憶	少女が見た日本の原風景
EastNewSound feat.紫咲ほたる	果てしない夢	少女綺想曲　～ Dream Battle
EastNewSound feat.紫咲ほたる	悦楽カーニヴァル	魔法少女達の百年祭
EastNewSound feat.紫咲ほたる	Another Distance	ラストリモート
EastNewSound feat.紫咲ほたる	relate	プレインエイジア
EastNewSound feat.紫月菜乃	Alegro?	ツェペシュの幼き末裔
EastNewSound feat.花火うき	蒼月下零度	おてんば恋娘
EastNewSound feat.茶太	星霜輪廻 ～Repeat～	聖徳伝説　～ True Administrator
EastNewSound feat.茶太	幽音絶花、繚乱ノ彩	今昔幻想郷　～ Flower Land
EastNewSound feat.茶太	終奏叙情曲 -lycoris-	彼岸帰航　～ Riverside View
EastNewSound feat.茶太	桜影彩艶	幽雅に咲かせ、墨染の桜　～ Border of Life
EastNewSound feat.茶太	Lucent Wish	神さびた古戦場　～ Suwa Foughten Field
EastNewSound feat.茶太	Lucid Dream	法界の火
EastNewSound feat.葉月なの(nayuta)	緋色月下、狂咲ノ絶	U.N.オーエンは彼女なのか？
EastNewSound feat.葉月なの(nayuta)	STAY HERE，NOT ALONE	上海紅茶館　～ Chinese Tea
EastNewSound feat.葉月ゆら	Ash and Snow	渡る者の途絶えた橋
